sale_date,product_id,category,quantity_sold,unit_price,stock_available,payment_method,return_flag
2026-02-12,119,groceries,3,3200,53,CARD,0
2026-02-13,101,snacks,8,4600,46,PSE,0
2026-02-14,108,cleaning,7,8900,64,CARD,0
2026-02-15,115,groceries,4,2500,82,PSE,0
2026-02-16,122,snacks,7,3300,100,NEQUI,0
2026-02-17,104,cleaning,4,7400,93,CASH,0
2026-02-18,111,household,1,24500,21,NEQUI,0
2026-02-19,118,personal_care,6,9700,39,CASH,0
2026-02-20,100,groceries,3,2500,32,NEQUI,0
2026-02-21,107,snacks,2,3300,50,CASH,1
2026-02-22,114,cleaning,7,7400,68,NEQUI,0
2026-02-23,121,household,2,24500,86,CARD,0
2026-02-24,103,snacks,7,2500,79,PSE,0
2026-02-25,110,cleaning,4,5200,97,CARD,0
2026-02-26,117,household,1,19900,25,PSE,0
2026-02-27,124,personal_care,6,6300,43,CARD,0
2026-02-28,106,groceries,5,8200,36,PSE,0
2026-03-01,113,snacks,2,2500,54,CARD,0
2026-03-02,120,cleaning,5,5200,72,CASH,0
2026-03-03,102,household,2,19900,65,NEQUI,0
2026-03-04,109,personal_care,7,6300,83,CASH,0
2026-03-05,116,cleaning,4,15600,101,NEQUI,0
2026-03-06,123,household,1,13500,29,CASH,0
2026-03-07,105,personal_care,8,4100,22,NEQUI,0
2026-03-08,112,groceries,5,6900,40,CASH,0
2026-03-09,119,snacks,8,1800,58,PSE,0
2026-03-10,101,cleaning,5,15600,51,CARD,1
2026-03-11,108,household,2,13500,69,PSE,1
2026-03-12,115,personal_care,7,4100,87,CARD,0
2026-03-13,122,groceries,4,6900,15,PSE,0
2026-03-14,104,household,3,9400,98,CARD,0
2026-03-15,111,personal_care,8,18400,26,PSE,0
2026-03-16,118,groceries,3,4800,44,NEQUI,0
2026-01-01,100,snacks,8,1200,37,NEQUI,0
2026-01-02,107,cleaning,5,11200,55,CASH,0
2026-01-03,114,household,4,9400,73,NEQUI,0
2026-01-04,121,personal_care,1,18400,91,CASH,0
2026-01-05,103,groceries,4,4800,84,PSE,0
2026-01-06,110,snacks,1,1200,12,CARD,0
2026-01-07,117,personal_care,6,12800,30,PSE,0
2026-01-08,124,groceries,3,3200,48,CARD,0
2026-01-09,106,snacks,8,4600,41,PSE,0
2026-01-10,113,cleaning,7,8900,59,CARD,0
2026-01-11,120,household,4,6800,77,PSE,1
2026-01-12,102,personal_care,7,12800,70,NEQUI,0
2026-01-13,109,groceries,4,3200,88,CASH,0
2026-01-14,116,snacks,1,4600,16,NEQUI,0
2026-01-15,123,cleaning,6,8900,34,CASH,0
2026-01-16,105,groceries,3,2500,27,NEQUI,0
2026-01-17,112,snacks,2,3300,45,CASH,0
2026-01-18,119,cleaning,7,7400,63,NEQUI,0
2026-01-19,101,household,2,24500,56,CARD,0
2026-01-20,108,personal_care,7,9700,74,PSE,0
2026-01-21,115,groceries,4,2500,92,CARD,0
2026-01-22,122,snacks,1,3300,20,PSE,0
2026-01-23,104,cleaning,6,7400,13,CARD,0
2026-01-24,111,household,5,24500,31,PSE,0
2026-01-25,118,snacks,2,2500,49,CARD,0
2026-01-26,100,cleaning,5,5200,42,CASH,0
2026-01-27,107,household,2,19900,60,NEQUI,0
2026-01-28,114,personal_care,7,6300,78,CASH,1
2026-01-29,121,groceries,4,8200,96,NEQUI,0
2026-01-30,103,snacks,1,2500,89,CASH,0
2026-01-31,110,cleaning,8,5200,17,NEQUI,0
2026-02-01,117,household,5,19900,35,CASH,0
2026-02-02,124,personal_care,8,6300,53,PSE,0
2026-02-03,106,cleaning,5,15600,46,CARD,0
2026-02-04,113,household,2,13500,64,PSE,0
2026-02-05,120,personal_care,7,4100,82,CARD,0
2026-02-06,102,groceries,4,6900,75,PSE,0
2026-02-07,109,snacks,3,1800,93,CARD,0
2026-02-08,116,cleaning,8,15600,21,PSE,0
2026-02-09,123,household,3,13500,39,NEQUI,0
2026-02-10,105,personal_care,8,4100,32,CASH,0
2026-02-11,112,groceries,5,6900,50,NEQUI,0
2026-02-12,119,household,2,9400,68,CASH,0
2026-02-13,101,personal_care,7,18400,61,NEQUI,0
2026-02-14,108,groceries,6,4800,79,CASH,1
2026-02-15,115,snacks,3,1200,97,NEQUI,0
2026-02-16,122,cleaning,6,11200,25,CARD,0
2026-02-17,104,household,3,9400,18,PSE,0
2026-02-18,111,personal_care,8,18400,36,CARD,0
2026-02-19,118,groceries,5,4800,54,PSE,0
2026-02-20,100,snacks,2,1200,47,CARD,0
2026-02-21,107,personal_care,1,12800,65,PSE,0
2026-02-22,114,groceries,6,3200,83,CARD,0
2026-02-23,121,snacks,1,4600,101,CASH,0
2026-02-24,103,cleaning,6,8900,94,NEQUI,0
2026-02-25,110,household,3,6800,22,CASH,0
2026-02-26,117,personal_care,8,12800,40,NEQUI,0
2026-02-27,124,groceries,5,3200,58,CASH,0
2026-02-28,106,snacks,4,4600,51,NEQUI,0
2026-03-01,113,cleaning,1,8900,69,CASH,0
2026-03-02,120,groceries,4,2500,87,PSE,0
2026-03-03,102,snacks,1,3300,80,CARD,1
2026-03-04,109,cleaning,6,7400,98,PSE,0
2026-03-05,116,household,3,24500,26,CARD,1
2026-03-06,123,personal_care,8,9700,44,PSE,0
2026-03-07,105,groceries,7,2500,37,CARD,0
2026-03-08,112,snacks,4,3300,55,PSE,0
2026-03-09,119,cleaning,7,7400,73,NEQUI,0
2026-03-10,101,household,4,24500,66,CASH,0
2026-03-11,108,snacks,1,2500,84,NEQUI,0
2026-03-12,115,cleaning,6,5200,12,CASH,0
2026-03-13,122,household,3,19900,30,NEQUI,0
2026-03-14,104,personal_care,2,6300,23,CASH,0
2026-03-15,111,groceries,7,8200,41,NEQUI,0
2026-03-16,118,snacks,2,2500,59,CARD,0
